timestamp,interceptor_flow_gpm
2022-07-25,1246868.6441290935
2022-07-26,1294624.2460064664
2022-07-27,1177455.996205964
2022-07-28,1139584.4109067377
2022-07-29,1196913.1183748392
2022-07-30,1185124.4611261361
2022-07-31,1143052.0275111548
2022-08-01,1245927.0839441312
2022-08-02,1541363.0134404283
2022-08-03,1393482.591101189
2022-08-04,1330314.813809221
2022-08-05,2025104.5826038667
2022-08-06,1757644.8656177977
2022-08-07,1535077.008108112
2022-08-08,1447329.594783591
2022-08-09,1462707.5514844477
2022-08-10,1699838.4852809345
2022-08-11,2380035.02746937
2022-08-12,2097422.1377118523
2022-08-13,2292667.571557851
2022-08-14,1982885.4865324323
2022-08-15,1706196.817568127
2022-08-16,1475825.8602424941
2022-08-17,1277650.866018534
2022-08-18,1284043.969629932
2022-08-19,1284026.0619974933
2022-08-20,1225924.8592186715
2022-08-21,1152657.2574218174
2022-08-22,1179384.7811026222
2022-08-23,1187863.094727768
2022-08-24,1283356.8677645002
2022-08-25,1195956.3297463714
2022-08-26,1186675.0323518221
2022-08-27,1097326.1680685906
2022-08-28,950313.6525892104
2022-08-29,807220.3991955518
2022-08-30,804640.0090668477
2022-08-31,871311.110136148
2022-09-01,1043677.920634763
2022-09-02,1075239.983104553
2022-09-03,902473.2947890112
2022-09-04,818811.0236602523
2022-09-05,788586.4594162873
2022-09-06,1753817.2292625417
2022-09-07,2297005.875402267
2022-09-08,2571511.950528302
2022-09-09,3339114.7639880357
2022-09-10,3354536.2389950566
2022-09-11,3341664.1535046413
2022-09-12,2594792.3959788084
2022-09-13,2787876.0258418876
2022-09-14,2328521.3377353437
2022-09-15,2237944.0577081973
2022-09-16,2063778.7248617364
2022-09-17,1806951.5517703413
2022-09-18,1570707.502496245
2022-09-19,1391286.5135947808
2022-09-20,1241865.8761787156
2022-09-21,1114308.8299749054
2022-09-22,1027466.0260023646
2022-09-23,989078.4857583204
2022-09-24,917294.2438516135
2022-09-25,875792.0599450874
2022-09-26,831361.2537280655
2022-09-27,864198.4934817622
2022-09-28,856169.9805597682
2022-09-29,890054.5204529128
2022-09-30,905686.1407069648
2022-10-01,1118307.9962638624
2022-10-02,1272131.2513903177
2022-10-03,1636872.122711575
2022-10-04,2177333.0712515274
2022-10-05,2781167.02089762
2022-10-06,3180843.114771491
2022-10-07,2851913.639710434
2022-10-08,2328160.1998951426
2022-10-09,1896148.1941702678
2022-10-10,1618895.7038269758
2022-10-11,1435566.8181780307
2022-10-12,1289429.6096842636
2022-10-13,1286175.3340735983
2022-10-14,1360094.3762904708
2022-10-15,1244293.0343635264
2022-10-16,1166435.5377920882
2022-10-17,1095389.0147264677
2022-10-18,1072387.802743594
2022-10-19,1023580.9557354577
2022-10-20,962594.8041599301
2022-10-21,933689.3234634077
2022-10-22,898322.1863641026
2022-10-23,889081.8915592991
2022-10-24,881287.9748477334
2022-10-25,873882.4584310595
2022-10-26,888192.2614271705
2022-10-27,881460.0120352975
2022-10-28,864109.4621929289
2022-10-29,857641.8499885036
2022-10-30,833167.7952789919
2022-10-31,827759.5802117282
2022-11-01,860174.5421988327
2022-11-02,881552.9083812368
2022-11-03,870518.4215496067
2022-11-04,882479.896070107
2022-11-05,866549.891344927
2022-11-06,843876.4926545423
2022-11-07,858548.0143644867
2022-11-08,841610.1610925087
2022-11-09,823008.3032064077
2022-11-10,811987.6312170505
2022-11-11,1002675.953877037
2022-11-12,1353822.027698835
2022-11-13,1880968.1804593848
2022-11-14,6059197.83527095
2022-11-15,6421634.09026662
2022-11-16,6145958.393261777
2022-11-17,4977951.89935331
2022-11-18,4985994.0049541565
2022-11-19,5117939.093963348
2022-11-20,4274684.074512229
2022-11-21,3466574.462725591
2022-11-22,2946052.186266759
2022-11-23,2578615.415329372
2022-11-24,2256323.6115212417
2022-11-25,2097243.551360664
2022-11-26,1934757.5899719116
2022-11-27,1796383.3434207896
2022-11-28,1741828.5604606015
2022-11-29,1667007.9285582923
2022-11-30,1701225.6807586888
2022-12-01,1690957.8675148187
2022-12-02,1639919.190303338
2022-12-03,1717984.8795595905
2022-12-04,1769962.4791370658
2022-12-05,1680263.3904812208
2022-12-06,1695694.125989327
2022-12-07,1744196.6427743617
2022-12-08,1696260.189805425
2022-12-09,1673199.5805281173
2022-12-10,1679660.1076326359
2022-12-11,1728709.3971600505
2022-12-12,1682826.3263542817
2022-12-13,1656216.964542269
2022-12-14,1626452.401442702
2022-12-15,2568646.5639341064
2022-12-16,6724634.549417172
2022-12-17,9915148.575011587
2022-12-18,9419904.389940957
2022-12-19,7672246.749785201
2022-12-20,5966343.402940045
2022-12-21,4806348.568562574
2022-12-22,4537415.479357326
2022-12-23,14409249.212986514
2022-12-24,18043124.79227057
2022-12-25,14460642.385731123
2022-12-26,9783768.15747439
2022-12-27,7408649.911180691
2022-12-28,6139737.8089032
2022-12-29,5336056.3502726685
2022-12-30,4809813.593502541
2022-12-31,4383596.890406826
2023-01-01,4364298.818891953
2023-01-02,4489599.903430016
2023-01-03,5064808.35656089
2023-01-04,5349822.067773762
2023-01-05,5203658.529078844
2023-01-06,5159439.0507865185
2023-01-07,4705138.683776536
2023-01-08,4242287.442728636
2023-01-09,3847529.92802276
2023-01-10,3520386.8138027578
2023-01-11,3281648.415880949
2023-01-12,3089052.538497164
2023-01-13,3158261.4821564765
2023-01-14,3031019.7944576694
2023-01-15,2895322.780616484
2023-01-16,2827168.6842728322
2023-01-17,2693843.987958247
2023-01-18,2579661.387671234
2023-01-19,2526503.850841384
2023-01-20,2555225.5596522056
2023-01-21,2635407.1689077923
